Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;0;0;0;0;2024;Araçatuba;Alto Alegre;DM - Alto Alegre
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;0;0;0;0;2024;Araçatuba;Alto Alegre;DM - Alto Alegre
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2024;Araçatuba;Alto Alegre;DM - Alto Alegre
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2024;Araçatuba;Alto Alegre;DM - Alto Alegre
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2024;Araçatuba;Alto Alegre;DM - Alto Alegre
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2024;Araçatuba;Alto Alegre;DM - Alto Alegre
TENTATIVA DE HOMICÍDIO;1;0;0;0;0;0;0;0;0;0;0;0;1;2024;Araçatuba;Alto Alegre;DM - Alto Alegre
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2024;Araçatuba;Alto Alegre;DM - Alto Alegre
LESÃO CORPORAL DOLOSA;1;0;0;0;0;0;0;0;0;0;0;0;1;2024;Araçatuba;Alto Alegre;DM - Alto Alegre
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2024;Araçatuba;Alto Alegre;DM - Alto Alegre
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;0;0;0;2024;Araçatuba;Alto Alegre;DM - Alto Alegre
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2024;Araçatuba;Alto Alegre;DM - Alto Alegre
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2024;Araçatuba;Alto Alegre;DM - Alto Alegre
TOTAL DE ESTUPRO (4);0;0;0;0;0;0;0;0;0;0;0;0;0;2024;Araçatuba;Alto Alegre;DM - Alto Alegre
ESTUPRO;0;0;0;0;0;0;0;0;0;0;0;0;0;2024;Araçatuba;Alto Alegre;DM - Alto Alegre
ESTUPRO DE VULNERÁVEL;0;0;0;0;0;0;0;0;0;0;0;0;0;2024;Araçatuba;Alto Alegre;DM - Alto Alegre
TOTAL DE ROUBO - OUTROS (1);0;0;0;0;0;0;0;0;0;0;0;0;0;2024;Araçatuba;Alto Alegre;DM - Alto Alegre
ROUBO - OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2024;Araçatuba;Alto Alegre;DM - Alto Alegre
ROUBO DE VEÍCULO;0;0;0;0;0;0;0;0;0;0;0;0;0;2024;Araçatuba;Alto Alegre;DM - Alto Alegre
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2024;Araçatuba;Alto Alegre;DM - Alto Alegre
ROUBO DE CARGA;0;0;0;0;0;0;0;0;0;0;0;0;0;2024;Araçatuba;Alto Alegre;DM - Alto Alegre
FURTO - OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2024;Araçatuba;Alto Alegre;DM - Alto Alegre
FURTO DE VEÍCULO;0;0;0;0;0;0;0;0;0;0;0;0;0;2024;Araçatuba;Alto Alegre;DM - Alto Alegre
