Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;0;0;0;0;2022;Bauru;Álvaro de Carvalho;DM - Alv.de Carvalho
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;0;0;0;0;2022;Bauru;Álvaro de Carvalho;DM - Alv.de Carvalho
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;Bauru;Álvaro de Carvalho;DM - Alv.de Carvalho
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;Bauru;Álvaro de Carvalho;DM - Alv.de Carvalho
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;Bauru;Álvaro de Carvalho;DM - Alv.de Carvalho
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;Bauru;Álvaro de Carvalho;DM - Alv.de Carvalho
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;Bauru;Álvaro de Carvalho;DM - Alv.de Carvalho
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;Bauru;Álvaro de Carvalho;DM - Alv.de Carvalho
LESÃO CORPORAL DOLOSA;1;3;3;2;0;4;2;1;0;2;2;0;20;2022;Bauru;Álvaro de Carvalho;DM - Alv.de Carvalho
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;1;0;0;0;0;0;1;2022;Bauru;Álvaro de Carvalho;DM - Alv.de Carvalho
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;1;0;0;0;0;0;0;0;1;2022;Bauru;Álvaro de Carvalho;DM - Alv.de Carvalho
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;Bauru;Álvaro de Carvalho;DM - Alv.de Carvalho
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;Bauru;Álvaro de Carvalho;DM - Alv.de Carvalho
TOTAL DE ESTUPRO (4);0;1;0;0;0;0;0;1;0;0;1;0;3;2022;Bauru;Álvaro de Carvalho;DM - Alv.de Carvalho
ESTUPRO;0;1;0;0;0;0;0;0;0;0;0;0;1;2022;Bauru;Álvaro de Carvalho;DM - Alv.de Carvalho
ESTUPRO DE VULNERÁVEL;0;0;0;0;0;0;0;1;0;0;1;0;2;2022;Bauru;Álvaro de Carvalho;DM - Alv.de Carvalho
TOTAL DE ROUBO - OUTROS (1);0;0;1;1;0;0;0;0;0;0;0;0;2;2022;Bauru;Álvaro de Carvalho;DM - Alv.de Carvalho
ROUBO - OUTROS;0;0;1;1;0;0;0;0;0;0;0;0;2;2022;Bauru;Álvaro de Carvalho;DM - Alv.de Carvalho
ROUBO DE VEÍCULO;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;Bauru;Álvaro de Carvalho;DM - Alv.de Carvalho
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;Bauru;Álvaro de Carvalho;DM - Alv.de Carvalho
ROUBO DE CARGA;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;Bauru;Álvaro de Carvalho;DM - Alv.de Carvalho
FURTO - OUTROS;8;8;4;2;2;0;1;2;2;2;1;0;32;2022;Bauru;Álvaro de Carvalho;DM - Alv.de Carvalho
FURTO DE VEÍCULO;0;0;0;0;0;0;0;1;0;0;0;0;1;2022;Bauru;Álvaro de Carvalho;DM - Alv.de Carvalho
